ingredient_extracted,ingredient_standardized,frecuencia
habichuelas verdes congeladasy,habichuela congeladasy,1
guascas,guasca,1
guandu o congelado,guandu o congelado,1
guacamole para servir,guacamole para servir,1
guacamole,guacamole,1
jugo de1 limon,jugo de1 limon,1
jugo de pina,jugo de pina,1
jugo de naranja agria,jugo de naranja agria,1
jugo de limon recien exprimido,jugo de limon recien exprimido,1
jugo de limon dividido,jugo de limon dividido,1
jugo de dos limones,jugo de dos limon,1
jugo de carne,jugo de carne,1
jugo de 3 limones o a tu gusto.,jugo de 3 limon o a tu gusto,1
granos de maiz congelados,grano de maiz congelado,1
granos de maiz congelado o,grano de maiz congelado,1
grandes pechugas de pollo con hueso,pechuga de pollo con hueso,1
gelatina sin sabor,gelatina sin sabor,1
gaseosa colombiana,gaseosa colombiana,1
garbanzos remojados durante la noche,garbanzo remojado durante la noche,1
galon de leche entera prefereblimente organica,galon de leche entera prefereblimente organica,1
frijoles rojos remojados durante la noche,frijol,1
frijoles cargamanto secos remojados durante la noche,frijol,1
frijoles cargamanto o pintos,frijol,1
leche en polvo,leche en polvo,1
leche de coco o enlatada,leche de coco o enlatada,1
leche de coco enlatada,leche de coco enlatada,1
leche condensada o mas a su gusto,leche condensada o mas a su gusto,1
leche condensada o a tu gusto,leche condensada o a tu gusto,1
la cerveza,cerveza,1
lomo de res,lomo de res,1
lomo de cerdo o paletilla de cerdo,lomo de cerdo o paletilla de cerdo,1
lomo de cerdo de 3 a 4 libras,lomo de cerdo de 3 a 4 libra,1
lomo de cerdo ancho,lomo de cerdo ancho,1
limones organicos lavados,limon organico,1
limon y aji para servir,limon y aji para servir,1
limon para servir,limon para servir,1
levadura instantanea,levadura instantanea,1
lentejas secas,lenteja,1
lentejas lavadas,lenteja,1
lengua de res de 3 a 4 libras,lengua de res de 3 a 4 libra,1
lechuga y galletas saladas para servir,lechuga y galleta salada para servir,1
leche para servir,leche para servir,1
leche o muas si es necesario,leche o muas si es necesario,1
leche o a tu gusto,leche o a tu gusto,1
green plantains peeled and cut crosswise into 2 inch pieces,green plantain peeled and cut crosswise into 2 inch piec,1
